title,artist,lyrics,Category
Hills and Valleys,Tauren Wells,"You wiped my tears away
And I've felt the pain of heartbreak
And I've seen the brighter days

And I've prayed prayers to Heaven
From my lowest place
And I have held Your blessings
God, You give and take away

No matter what I have, Your grace is enough
No matter where I am, I'm standing in Your love

On the mountains, I will bow my life
To the One who set me there
In the valley, I will lift my eyes
To the One who sees me there

When I'm standing on the mountain
I didn't get there on my own
When I'm walking through the valley
I know I am not alone

You're God of the hills and valleys
Hills and valleys
God of the hills and valleys
And I am not alone

I've watched my dreams get broken
In You, I hope again
No matter what I know
I'm safe inside Your hands

On the mountains, I will bow my life
To the One who set me there (to the One who set me there)
In the valley, I will lift my eyes
To the One who sees me there

When I'm standing on the mountain
I didn't get there on my own
When I'm walking through the valley
I know I am not alone

You're God of the hills and valleys
Hills and valleys
God of the hills and valleys
And I am not alone

Father, You give and take away
Every joy and every pain
Through it all, You will remain
Over it all

Father, You give and take away
Every joy and every pain
Through it all, You will remain
Over it all

On the mountains, I will bow my life, yeah
In the valley, I will lift my eyes, yeah

On the mountains, I will bow my life
To the One who set me there (to the One who set me there)
In the valley, I will lift my eyes
To the One who sees me there

When I'm standing on the mountain
I didn't get there on my own
When I'm walking through the valley
I know I am not alone (I'm not alone)

You're God of the hills and valleys (yeah)
Hills and valleys
God of the hills and valleys (You're the God of the hills)
And I am not alone

You're God of the hills and valleys (yeah)
Hills and valleys
God of the hills and valleys (You're the God of the hills)
And I am not alone (God of the valleys)

And I will choose to say
Blessed be Your Name
And I am not alone",Inspiring
Trust In You,Lauren Daigle,"I lay each one down at Your feet
Every moment of my wandering
Never changes what You see

I've tried to win this war I confess
My hands are weary I need Your rest
Mighty Warrior, King of the fight
No matter what I face, You're by my side

When You don't move the mountains I'm needing You to move
When You don't part the waters I wish I could walk through
When You don't give the answers as I cry out to You
I will trust, I will trust, I will trust in You!

Truth is, You know what tomorrow brings
There's not a day ahead You have not seen
So, in all things be my life and breath
I want what You want Lord and nothing less

When You don't move the mountains I'm needing You to move
When You don't part the waters I wish I could walk through
When You don't give the answers as I cry out to You
I will trust, I will trust, I will trust in You!

You are my strength and comfort
You are my steady hand
You are my firm foundation; the rock on which I stand

Your ways are always higher
Your plans are always good
There's not a place where I'll go, You've not already stood

When You don't move the mountains I'm needing You to move
When You don't part the waters I wish I could walk through
When You don't give the answers as I cry out to You
I will trust, I will trust, I will trust in You!

I will trust in You!
I will trust in You!
I will trust in You!",Inspiring
Chain Breaker,Zach Williams,"If you've been hearing the same old voice tell the same old lies
If you're trying to feel the same old holes inside
There's a better life
There's a better life

If you've got pain
He's a pain taker
If you feel lost
He's a way maker
If you need freedom or saving
He's a prison-shaking Savior
If you've got chains
He's a chain breaker

We've all search for the light of day in the dead of night
We've all found ourselves worn out from the same old fight
We've all run to things we know just ain't right
And there's a better life
There's a better life

If you believe it
If you receive it
If you can feel it
Somebody testify",Inspiring
O'Lord,Lauren Daigle,"Like I'm coming undone
This walk can often feel lonely
No matter what until this race is won
I will stand my ground where hope can be found
I will stand my ground where hope can be found

Oh, O'Lord O'Lord You hear my cry
Your love is lifting me above all the lies
No matter what I face this I know in time
You'll take all that is wrong and make it right
You'll take all that is wrong and make it right

Your strength is found
At the end of my road
Your grace it reaches to the hurting
Still through the tears and the questioning why
I will stand my ground where hope can be found!
I will stand my ground where hope can be found!

Oh, O'Lord O'Lord You hear my cry
Your love is lifting me above all the lies
No matter what I face This I know in time
You'll take all that is wrong and make it right
So Right, Right so Right

I will stand my ground where hope can be found!
I will stand my ground where hope can be found!
I will stand my ground where hope can be found!
I will stand my ground where hope can be found!

Oh! O'Lord O'Lord You hear my cry
Your love is lifting me above all the lies
No matter what I face I know that in time
You'll take all that is wrong and make it right
You'll take all that is wrong and make it right
So right. Right, so right.",Inspiring
I Can Only Imagine,MercyMe,"When I walk by your side
I can only imagine what my eyes will see
When your face is before me
I can only imagine, yeah

Surrounded by your glory
What will my heart feel
Will I dance for you Jesus
Or in awe of you be still
Will I stand in your presence
Or to my knees will I fall
Will I sing hallelujah
Will I be able to speak at all
I can only imagine
I can only imagine

I can only imagine when that day comes
And I find myself standing in the Son
I can only imagine when all I will do
Is forever, forever worship you
I can only imagine
I can only imagine

Surrounded by your glory
What will my heart feel
Will I dance for you Jesus
Or in awe of you be still
Will I stand in your presence
Or to my knees will I fall
Will I sing hallelujah
Will I be able to speak at all
I can only imagine
I can only imagine

Surrounded by your glory
What will my heart feel
Will I dance for you Jesus
Or in awe of you be still
Will I stand in your presence
Or to my knees will I fall
Will I sing hallelujah
Will I be able to speak at all
I can only imagine
I can only imagine

I can only imagine, yeah
I can only imagine
I can only imagine

I can only imagine
When all I will do
Is forever, forever worship you
I can only imagine",Inspiring
Home,Chris Tomlin,"All this pain, all this suffering
There's a better place
Waiting for me
In Heaven

Every tear will be wiped away
Every sorrow and sin erased
We'll dance on seas of amazing grace
In Heaven
In Heaven

I'm goin' home
Where the streets are golden
Every chain is broken
Oh I wanna go
Oh I wanna go
Home
Where every fear is gone
I'm in your open arms
Where I belong
Home

Lay down my burdens, I lay down my past
I run to Jesus, no turning back
Thank God Almighty, I'll be free at last
In Heaven
In Heaven

I'm goin' home
Where the streets are golden
Every chain is broken
Oh I wanna go
Oh I wanna go
Home
Where every fear is gone
I'm in your open arms
Where I belong

Blinded eyes
Will finally see
The dead will rise
On the shores of eternity
The trump will sound
The angels will sing
Hallelujah, Hallelujah

I am 
Goin' home
Where the streets are golden
Every chain is broken
Oh I wanna go
Oh I wanna go
Home
Where every fear is gone
I'm in your open arms
Where I belong
Where I belong

I'm goin' home
I'm goin' home
I'm on my way home
I'm goin' home",Inspiring
Whole Heart,Brandon Heath,"And You sprung a well from a heart of stone
But I was careful then what I let You see
Only thought You wanted the best of me

The less I trust You the less I grow
The more You love me the more I know
I don't have to be afraid to show
All of me, all of me

Where there's hurting
You show me what healing can do
Where there's hatred
You show me how kindness can move
Where there's fear deep inside
I won't run, I won't hide
I'll give You all of me
So that You can see
Every broken piece

And open up my whole heart, whole heart
And love You with my whole heart, whole heart
My whole heart

So I'm ready now gonna let You in
All the way to the scars beneath my skin
And You don't look away cause You understand
And You hold my heart with a gentle hand

The less I trust You the less I grow
The more You love me the more I know
I don't have to be afraid to show
All of me, all of me

Where there's hurting
Oh where there's sorrow and shame
Enter into the pain",Inspiring
Good Good Father,Chris Tomlin,"Of what they think You're like
But I've heard the tender whisper
Of love in the dead of night
And You tell me that You're pleased
And that I'm never alone

You're a good good Father
It's who You are, it's who You are, it's who You are
And I'm loved by You
It's who I am, it's who I am, it's who I am

Oh, and I've seen many searching
For answers far and wide
But I know we're all searching
For answers only You provide
'Cause You know just what we need
Before we say a word

You're a good good Father
It's who You are, it's who You are, it's who You are
And I'm loved by You
It's who I am, it's who I am, it's who I am

Cause You are perfect in all of Your ways
You are perfect in all of Your ways
You are perfect in all of Your ways to us

You are perfect in all of Your ways
Oh, You are perfect in all of Your ways
You are perfect in all of Your ways to us

Oh, it's love so undeniable
I, I can hardly speak
Peace so unexplainable
I, I can hardly think
As You call me deeper still
As You call me deeper still
As You call me deeper still
Into love, love, love

You're a good good Father
It's who You are, it's who You are, it's who You are
And I'm loved by You
It's who I am, it's who I am, it's who I am

You're a good good Father
It's who You are, it's who You are, it's who You are
And I'm loved by You
It's who I am, it's who I am, it's who I am
You're a good good Father

You are perfect in all of Your ways
You are perfect in all of Your ways
You are perfect in all of Your ways",Inspiring
Eye of the Storm (feat. GabeReal),Ryan Stevenson,"And in the middle of the war, You guard my soul
You alone are the anchor, when my sails are torn
Your love surrounds me in the eye of the storm

When the solid ground is falling out from underneath my feet
Between the black skies, and my red eyes, I can barely see
When I realize I've been sold out by my friends and my family
I can feel the rain reminding me

In the eye of the storm, You remain in control
In the middle of the war, You guard my soul
You alone are the anchor, when my sails are torn
Your love surrounds me in the eye of the storm

Mmm, when my hopes and dreams are far from me, and I'm runnin' out of faith
I see the future I picture slowly fade away
And when the tears of pain and heartache are falling down my face
I find my peace in Jesus' name

In the eye of the storm (yeah, yeah)
You remain in control (yes you do, Lord)
In the middle of the war, You guard my soul
You alone are the anchor, when my sails are torn
Your love surrounds me (Your love surrounds me)
In the eye of the storm (in the eye of the storm)

When the test comes in and the doctor says I've only got a few months left
It's like a bitter pill I'm swallowing; I can barely take a breath
And when addiction steals my baby girl, and there's nothing I can do
My only hope is to trust You
I trust You, Lord

In the eye of the storm (yeah, yeah) You remain in control
In the middle of the war (middle of the war), You guard my soul (yeah!)
You alone are the anchor (ooh), when my sails are torn
Your love surrounds me (yeah!)

In the eye of the storm, You remain in control (yes you do, Lord)
In the middle of the war (in the middle of the war), You guard my soul
You alone are the anchor (ooh), when my sails are torn
Your love surrounds me in the eye of the storm, ooh
Oh, in the eye of, oh, in the eye of the storm
I know You're watching me, yeah, ay

When the storm is raging (when the storm is raging)
And my hope is gone (and my hope is gone, Lord)
When my flesh is failing, You're still holding on, oh whoa
When the storm is raging (the storm is raging)
And my hope is gone (and all my hope is gone)
When my flesh is failing (my flesh is failing)
You're still holding on, ooh
When the storm is raging (when the storm is raging)
And my hope is gone (and my hope is gone)
Even when my flesh is failing (flesh is failing)
You're still holding on, holding on


The Lord is my Shepherd
I have all that I need
He lets me rest in green meadows
He leads me beside peaceful streams
He renews my strength
He guides me along right paths, bringing honor to His Name
Even when I walk through the darkest valley, I will not be afraid
For You are close beside me",Inspiring
Wonder,Hillsong UNITED,"You took the blame for everything
I should have been in exile
You became the door to freedom

I used to live in the darkness
Searching for a way of escape
Then You turned the light on
Now I can see, now I can see

You're the answer for the world
The Healer of our hearts
Oh, what a wonder You are

You're my all-sufficiency
The Author of forgiveness
Oh, what a wonder, a wonder working God

Once I was a stranger
You welcomed me as a long lost friend
Now I have a future
Found in the Son, found in the Son

You're the answer for the world
The Healer of our hearts
Oh, what a wonder You are

You're my all-sufficiency
The Author of forgiveness
Oh, what a wonder

You're the answer for the world
The Healer of our hearts
Oh, what a wonder You are

You're my all-sufficiency
The Author of forgiveness
Oh, what a wonder, a wonder working God

Wonder working, wonder working, wonder working God
(There's none like You, yeah yeah, yeah yeah, yeah)
Wonder working, wonder working, wonder working God
(Wonder working God)
Wonder working, wonder working, wonder working God
Wonder working, wonder working, wonder working God
Wonder working, wonder working, wonder working God",Inspiring
So Will I (100 Billion X),Hillsong UNITED,"There at the start, before the beginning of time
With no point of reference
You spoke to the dark and fleshed out the wonder of light

And as You speak
A hundred billion galaxies are born
In the vapour of Your breath the planets form
If the stars were made to worship, so will I
I can see Your heart in everything You've made
Every burning star, a signal fire of grace
If creation sings Your praises, so will I

God of Your promise
You don't speak in vain, no syllable empty or void
For once You have spoken
All nature and science, follow the sound of Your voice

And as You speak
A hundred billion creatures catch Your breath
Evolving in pursuit of what You said
If it all reveals Your nature, so will I
I can see Your heart in everything You say
Every painted sky, a canvas of Your grace
If creation still obeys You, so will I
So will I, so will I

If the stars were made to worship, so will I
If the mountains bow in reverence, so will I
If the oceans roar Your greatness, so will I
For if everything exists to lift You high, so will I
And if the wind goes where You send it, so will I
If the rocks cry out in silence, so will I
If the sum of all our praises still falls shy
Then we'll sing again a hundred billion times!

God of salvation
You chased down my heart through all of my failure and pride
On a hill You created
The light of the world abandoned in darkness to die

And as You speak
A hundred billion failures disappear
Where You lost Your life so I could find it here
If You left the grave behind You, so will I
I can see Your heart in everything You've done
Every part designed in a work of art called love
If You gladly chose surrender, so will I
I can see in Your heart, eight billion different ways
Every precious one, a child You died to save
If You gave Your life to love them, so will I

Like You would again a hundred billion times
But what measure could amount to Your desire?
You're the One who never leaves the one behind",Inspiring
What a Beautiful Name,Hillsong Worship,"One with God, the Lord Most High
Your hidden glory in creation
Now revealed in You our Christ

What a beautiful name it is
What a beautiful name it is
The name of Jesus Christ my King

What a beautiful name it is
Nothing compares to this
What a beautiful name it is
The Name of Jesus

You didn't want heaven without us
So Jesus, You brought heaven down
My sin was great, Your love was greater
What could separate us now

What a wonderful name it is
What a wonderful name it is
The name of Jesus Christ my King

What a wonderful name it is
Nothing compares to this
What a wonderful name it is
The name of Jesus

What a wonderful name it is
The name of Jesus

How sweet is Your name, O God
How good You are
We love to sing of Your name, Lord
Love to sing of who You are

Death could not hold You, the veil tore before You
You silence the boast of sin and grave
The heavens are roaring the praise of Your glory
For You are raised to life again

You have no rival, You have no equal
Now and forever, God You reign
Yours is the kingdom, Yours is the glory
Yours is the name above all names

What a powerful name it is
What a powerful name it is
The name of Jesus Christ my King

What a powerful name it is
Nothing can stand against
What a powerful name it is
The name of Jesus

You have no rival, You have no equal
Now and forever, God You reign
Yours is the kingdom, Yours is the glory
Yours is the name above all names

What a powerful name it is
What a powerful name it is
The name of Jesus Christ my King

What a powerful name it is
Nothing can stand against
What a powerful name it is
The name of Jesus

What a powerful name it is
The name of Jesus
What a powerful name it is
The name of Jesus",Inspiring
Oceans (Where Feet May Fail),Hillsong UNITED,"The great unknown where feet may fail
And there I find You in the mystery
In oceans deep
My faith will stand

And I will call upon Your name
And keep my eyes above the waves
When oceans rise
My soul will rest in Your embrace
For I am Yours and You are mine

Your grace abounds in deepest waters
Your sovereign hand
Will be my guide
Where feet may fail and fear surrounds me
You've never failed and You won't start now

So I will call upon Your name
And keep my eyes above the waves
When oceans rise
My soul will rest in Your embrace
For I am Yours and You are mine

Spirit lead me where my trust is without borders
Let me walk upon the waters
Wherever You would call me
Take me deeper than my feet could ever wander
And my faith will be made stronger
In the presence of my Savior
(X6)

I will call upon Your Name
Keep my eyes above the waves
My soul will rest in Your embrace
I am Yours and You are mine",Inspiring
Jesus I Believe,Big Daddy Weave,"Feel your presence
And know You're near
I wanna see You Jesus
Move in power
And cast out fear

I need to hear You now
I need to know it's You
I'm standing on your promises
I know your Word is true
You're beginning what I see
It's You and its change for me
'Cause even the impossible can be reality
Jesus I believe

Jesus I believe

I wanna say what You're saying
Speaking life to what is dead

And I wanna cling to You Jesus
Uh, hanging on your every breath

I need to hear You now
I need to know it's You
I'm standing on your promises
I know your Words are true
You're beginning what I see
That it's You and its change for me

'Cause even the impossible is your reality
Jesus I believe
Jesus I believe

So let your kingdom come
And let your will be done
Here on the earth
Just like it is in heaven

God let your kingdom come
And let your will be done
Right here on earth
Just like it is heaven

I need to hear You now
I need to know it's You
I'm standing on your promises
I know your Word is true

You're beginning what I see
It's You and its change for me
'Cause even the impossible is your reality
I need to hear You now
I need to know it's You
I'm standing on your promises
I know your Words are true
You're beginning what I see
It's You and its change for me
'Cause even the impossible is your reality
God even the impossible is your reality
Jesus I believe
Jesus I believe
Help my unbelief God
Jesus I believe",Inspiring
How Can It Be,Lauren Daigle,"Ashamed of what I've done, what I've become
These hands are dirty
I dare not lift them up to the Holy one

You plead my cause
You right my wrongs
You break my chains
You overcome
You gave Your life
To give me mine
You say that I am free
How can it be
How can it be

I've been hiding
Afraid I've let you down, inside I doubt
That You still love me
But in Your eyes there's only grace now

You plead my cause
You right my wrongs
You break my chains
You overcome
You gave Your life
To give me mine
You say that I am free
How can it be
How can it be

Though I fall, You can make me new
From this death I will rise with You
Oh the grace reaching out for me
How can it be
How can it be

You plead my cause
You right my wrongs
You break my chains
You overcome
You gave Your life
To give me mine
You say that I am free
How can it be
How can it be",Inspiring
Love Broke Thru,tobyMac,"Singin' like a song through the tall oak trees
It was just another summer night
Had to be the last thing on my mind
Yeah, I was all but lost in the moment
I was young and runnin' wide open
It was just another summer night
Had to be the last thing on my mind

When love broke through
You found me in the darkness
Wanderin' through the desert
I was a hopeless fool
Now I'm hopelessly devoted
My chains are broken
And it all began with You
When love broke through
And it all began with You
When love broke through

I did all that I could to undo me
But You loved me enough to pursue me
Yeah, You drew me out of the shadows
Made me believe that I mattered, to You (You)
You were there, You heard my prayer in that broke down dusty room
It was the first time I said, ""I'm Yours""
The first time I called You Lord

When love broke through
You found me in the darkness
Wanderin' through the desert
I was a hopeless fool
Now I'm hopelessly devoted
My chains are broken
And it all began with You
When love broke through
And it all began with You
When love broke through

Yeah, it was late in the summer when the northeast breeze
Sang like a song through the oak trees
Pennsylvania
She kind of caught my soul
Which had me a little more open than closed
Walls I built
Opinions I learned
Covered in the ashes of bridges I burned
Blind to the arrow that headed to my heart
But You hit the mark

When love broke through
You found me in the darkness
Wanderin' through the desert
I was a hopeless fool
Now I'm hopelessly devoted
My chains are broken
And it all began with You
When love broke through

When love broke through
You found me in the darkness
Wanderin' through the desert
I was a hopeless fool
Now I'm hopelessly devoted
My chains are broken
And it all began with You
When love broke through
And it all began with You
When love broke through

I did all that I could to undo me
But You loved me enough to pursue me",Inspiring
Oceans (Where Feet May Fail),Hillsong UNITED,"The great unknown where feet may fail
And there I find You in the mystery
In oceans deep
My faith will stand

And I will call upon Your name
And keep my eyes above the waves
When oceans rise
My soul will rest in Your embrace
For I am Yours and You are mine

Your grace abounds in deepest waters
Your sovereign hand
Will be my guide
Where feet may fail and fear surrounds me
You've never failed and You won't start now

So I will call upon Your name
And keep my eyes above the waves
When oceans rise
My soul will rest in Your embrace
For I am Yours and You are mine

Spirit lead me where my trust is without borders
Let me walk upon the waters
Wherever You would call me
Take me deeper than my feet could ever wander
And my faith will be made stronger
In the presence of my Savior
(X6)

I will call upon Your Name
Keep my eyes above the waves
My soul will rest in Your embrace
I am Yours and You are mine",Inspiring
